DATE,USALORSGPNOSTSAM
1960-01-01,101.014185478266
1960-02-01,101.024921214307
1960-03-01,100.948665400908
1960-04-01,100.787738572069
1960-05-01,100.561229122579
1960-06-01,100.286873531314
1960-07-01,99.967670197884
1960-08-01,99.603088385971
1960-09-01,99.2030946742824
1960-10-01,98.8048475280191
1960-11-01,98.4556754132315
1960-12-01,98.1963448397147
1961-01-01,98.0411636075111
1961-02-01,97.9910203742109
1961-03-01,98.0383135723044
1961-04-01,98.1638612713278
1961-05-01,98.3468705973747
1961-06-01,98.5688813703465
1961-07-01,98.8132352075561
1961-08-01,99.0664038366424
1961-09-01,99.3173059660397
1961-10-01,99.5555530931772
1961-11-01,99.7709775493053
1961-12-01,99.9536259279612
1962-01-01,100.094957976572
1962-02-01,100.188111822483
1962-03-01,100.230718084906
1962-04-01,100.230739630969
1962-05-01,100.198150084264
1962-06-01,100.139372071084
1962-07-01,100.053817862251
1962-08-01,99.9388776284565
1962-09-01,99.7965085120528
1962-10-01,99.6415672693289
1962-11-01,99.4937517533698
1962-12-01,99.3703626787614
1963-01-01,99.2784893869468
1963-02-01,99.2207807727105
1963-03-01,99.1986564451276
1963-04-01,99.2128038372267
1963-05-01,99.2617279341292
1963-06-01,99.3374416791572
1963-07-01,99.4183829238842
1963-08-01,99.4821673609128
1963-09-01,99.5176188760498
1963-10-01,99.5376508067304
1963-11-01,99.56341979193
1963-12-01,99.6094182570967
1964-01-01,99.6680173425348
1964-02-01,99.7219471758626
1964-03-01,99.7555357157464
1964-04-01,99.7659834949685
1964-05-01,99.7559406648666
1964-06-01,99.7275878789344
1964-07-01,99.6780721708356
1964-08-01,99.6060172947556
1964-09-01,99.519348455423
1964-10-01,99.4445089165333
1964-11-01,99.4116420672275
1964-12-01,99.439092237301
1965-01-01,99.5149353910953
1965-02-01,99.616785564782
1965-03-01,99.7277786720885
1965-04-01,99.8505158609988
1965-05-01,99.9978583050198
1965-06-01,100.182824912932
1965-07-01,100.406637811269
1965-08-01,100.663877053305
1965-09-01,100.94468802
1965-10-01,101.234450018319
1965-11-01,101.51429469419
1965-12-01,101.760893695419
1966-01-01,101.94691807266
1966-02-01,102.047687062103
1966-03-01,102.052154887543
1966-04-01,101.979803505785
1966-05-01,101.861565821287
1966-06-01,101.726414513035
1966-07-01,101.591644692773
1966-08-01,101.465313810653
1966-09-01,101.348879724991
1966-10-01,101.239432760349
1966-11-01,101.131020064755
1966-12-01,101.015685625102
1967-01-01,100.884661023146
1967-02-01,100.731762202088
1967-03-01,100.558098758955
1967-04-01,100.378501676551
1967-05-01,100.212839130519
1967-06-01,100.078166605919
1967-07-01,99.980280258248
1967-08-01,99.9214348675887
1967-09-01,99.9055539079861
1967-10-01,99.9408229253113
1967-11-01,100.035677009918
1967-12-01,100.191321020841
1968-01-01,100.390059307774
1968-02-01,100.605687758223
1968-03-01,100.810873354659
1968-04-01,100.983489562415
1968-05-01,101.107094902739
1968-06-01,101.173861619657
1968-07-01,101.191080575432
1968-08-01,101.173780426323
1968-09-01,101.141025605484
1968-10-01,101.114887610872
1968-11-01,101.112977594691
1968-12-01,101.140760431567
1969-01-01,101.182310954979
1969-02-01,101.213334607942
1969-03-01,101.213276825615
1969-04-01,101.17827795034
1969-05-01,101.110763443876
1969-06-01,101.01168882753
1969-07-01,100.87531054186
1969-08-01,100.693805582495
1969-09-01,100.464660046158
1969-10-01,100.201278694038
1969-11-01,99.9234750682266
1969-12-01,99.6506833693727
1970-01-01,99.3964979568967
1970-02-01,99.1700481867269
1970-03-01,98.976157094767
1970-04-01,98.8136150087193
1970-05-01,98.6770690371645
1970-06-01,98.5566917160628
1970-07-01,98.4360277621505
1970-08-01,98.30435970303
1970-09-01,98.1689620766755
1970-10-01,98.0679821655369
1970-11-01,98.0438632388987
1970-12-01,98.1145732134041
1971-01-01,98.2541834704472
1971-02-01,98.4117676336932
1971-03-01,98.539972675355
1971-04-01,98.6222888023208
1971-05-01,98.660037133838
1971-06-01,98.6624165268547
1971-07-01,98.639603226746
1971-08-01,98.6040435314596
1971-09-01,98.5734854824541
1971-10-01,98.5748700139802
1971-11-01,98.6361911011374
1971-12-01,98.776117696201
1972-01-01,98.9891999931196
1972-02-01,99.2573953371112
1972-03-01,99.5560932475309
1972-04-01,99.8560625913081
1972-05-01,100.132617635209
1972-06-01,100.374701657027
1972-07-01,100.595585829183
1972-08-01,100.819708285896
1972-09-01,101.070850811536
1972-10-01,101.359973550189
1972-11-01,101.686268137755
1972-12-01,102.035351551475
1973-01-01,102.374627817318
1973-02-01,102.664269449828
1973-03-01,102.86906791665
1973-04-01,102.973963291141
1973-05-01,102.977529906516
1973-06-01,102.892403074314
1973-07-01,102.752768600878
1973-08-01,102.59421423375
1973-09-01,102.437777846226
1973-10-01,102.27571269889
1973-11-01,102.088355650406
1973-12-01,101.861277259516
1974-01-01,101.604050280973
1974-02-01,101.334079446597
1974-03-01,101.062851458384
1974-04-01,100.783402041088
1974-05-01,100.48093169791
1974-06-01,100.143894065501
1974-07-01,99.7765510863856
1974-08-01,99.3896239126924
1974-09-01,98.9932922905764
1974-10-01,98.5917794796258
1974-11-01,98.1901341925831
1974-12-01,97.801240789905
1975-01-01,97.4526930954182
1975-02-01,97.1762737552977
1975-03-01,96.994857997487
1975-04-01,96.9183111333987
1975-05-01,96.9426954360546
1975-06-01,97.0555941630562
1975-07-01,97.233825088157
1975-08-01,97.4542724211747
1975-09-01,97.6998254554588
1975-10-01,97.9621251744804
1975-11-01,98.2356012773886
1975-12-01,98.509987884687
